iter	Passed	Remaining
721	3355	1291
722	3358	1286
723	3363	1282
724	3368	1277
725	3372	1272
726	3376	1267
727	3380	1263
728	3386	1258
729	3390	1254
730	3394	1249
731	3400	1244
732	3404	1240
733	3408	1235
734	3412	1230
735	3417	1225
736	3421	1221
737	3425	1216
738	3430	1211
739	3434	1206
740	3439	1202
741	3443	1197
742	3448	1192
743	3452	1187
744	3456	1183
745	3461	1178
746	3466	1174
747	3471	1169
748	3475	1164
749	3481	1160
750	3485	1155
751	3490	1150
752	3493	1146
753	3499	1141
754	3503	1136
755	3507	1132
756	3512	1127
757	3517	1122
758	3521	1118
759	3526	1113
760	3532	1109
761	3536	1104
762	3540	1099
763	3545	1095
764	3549	1090
765	3554	1085
766	3558	1080
767	3563	1076
768	3567	1071
769	3571	1066
770	3577	1062
771	3581	1057
772	3586	1053
773	3589	1048
774	3596	1044
775	3600	1039
776	3604	1034
777	3609	1029
778	3614	1025
779	3618	1020
780	3623	1015
781	3627	1011
782	3631	1006
783	3635	1001
784	3640	997
785	3645	992
786	3649	987
787	3654	983
788	3659	978
789	3664	973
790	3667	969
791	3673	964
792	3678	960
793	3683	955
794	3687	950
795	3693	946
796	3697	941
797	3702	937
798	3707	932
799	3712	928
800	3716	923
801	3722	919
802	3727	914
803	3732	909
804	3736	904
805	3742	900
806	3746	896
807	3751	891
808	3756	886
809	3761	882
810	3766	877
811	3772	873
812	3777	868
813	3781	864
814	3787	859
815	3792	855
816	3796	850
817	3801	845
818	3808	841
819	3812	836
820	3817	832
821	3823	828
822	3828	823
823	3834	819
824	3840	814
825	3845	810
826	3850	805
827	3856	801
828	3862	796
829	3868	792
830	3877	788
831	3884	784
832	3888	779
833	3894	775
834	3898	770
835	3904	765
836	3908	761
837	3914	756
838	3918	752
839	3923	747
840	3927	742
841	3932	737
842	3936	733
843	3940	728
844	3944	723
845	3949	718
846	3953	714
847	3958	709
848	3965	705
849	3970	700
850	3974	695
851	3978	691
852	3984	686
853	3988	681
854	3993	677
855	3997	672
856	4003	667
857	4007	663
858	4012	658
859	4018	654
860	4024	649
861	4031	645
862	4035	640
863	4040	636
864	4046	631
865	4051	626
866	4057	622
867	4063	617
868	4067	613
869	4072	608
870	4077	603
871	4082	599
872	4086	594
873	4090	589
874	4098	585
875	4102	580
876	4106	575
877	4112	571
878	4116	566
879	4120	561
880	4125	557
881	4130	552
882	4134	547
883	4139	543
884	4143	538
885	4148	533
886	4152	529
887	4157	524
888	4162	519
889	4167	515
890	4171	510
891	4176	505
892	4180	500
893	4184	496
894	4189	491
895	4194	486
896	4199	482
897	4203	477
898	4208	472
899	4213	468
900	4217	463
901	4221	458
902	4226	454
903	4230	449
904	4235	444
905	4240	439
906	4245	435
907	4249	430
908	4254	425
909	4259	421
